name,calories,sugar,added_sugar,fat,fiber,protein,sodium,cholesterol,saturated_fat,carbohydrates,vitamin_c,calcium,potassium,magnesium,iron,omega3,monounsaturated_fat,zinc,phosphorus,vitamin_a,vitamin_b6,vitamin_b12,vitamin_e,vitamin_k,choline,niacin,health_label
"Juice drink sweetened concentrate, mix, corn syrup sweetened",273.59,44.36,42.67,1.95,0,0.95,36.19,0,0.95,63.06,2.5,9.58,5.35,5.21,0.06,0.01,0.24,0.03,12.26,0.0005,0.0081,0,0.043,0.0005,2.34,0.013,Unhealthy
"Black-eyed peas, whole, canned drained",185.23,1.5,0,0.79,6.76,22,12.92,0,0.09,22.53,0.9,74.14,595.94,36.67,2.93,0.18,0.08,2.54,249.13,0.0016,0.2627,0,0.997,0.0072,23.96,2.049,Healthy
"Turkey bacon processed, chunk, nitrate cured",248.92,1.25,0.1,19.84,0,12.49,741.91,84.75,6.24,5.1,8.22,23.67,275.43,15.23,1.17,1.39,7.31,2.98,111.74,0.0023,0.1223,0.00115,0.195,0.0032,43.12,5.512,Unhealthy
"Donut chocolate, jumbo, with sprinkles",398.25,26.55,22.82,19.69,1.26,5.09,386.24,73.79,7.1,50.17,0.69,28.02,112.31,8.54,2.3,1.92,6.87,0.97,93.3,0.0385,0.0418,0.000123,2.374,0.004,14.45,0.739,Unhealthy
"Cinnamon roll, frosted, with cream filling",394.5,29.93,28.41,15.98,1.55,3.17,367.92,47.51,7.39,59.5,0.16,28.39,59.92,23.97,0.84,1.23,5.19,0.82,52.69,0.0478,0.0387,0.000149,0.507,0.0089,24.43,1.06,Unhealthy
"Eggplant, sliced, baked",39.15,2.42,0,0.47,1.4,2.25,11.29,0,0.06,6.48,70.3,23.54,269.93,29.91,0.91,0.08,0.02,0.18,19.62,0.0498,0.1267,0,1.64,0.0079,7.12,1.096,Healthy
"Peas green, cubed, roasted",36.68,2.65,0,0.2,1.23,2.3,24.18,0,0.04,6.42,32.46,21.42,321.07,20.53,0.89,0.04,0.01,0.49,22.22,0.1949,0.142,0,0.795,0.0717,7.4,1.212,Healthy
"Scallops, rings, grilled",143.96,0.02,0,5.68,0,22.59,58.67,47.94,0.71,0.62,2.49,6.42,465.48,38.28,1.79,1.64,2.04,0.96,197,0.0295,0.3122,0.00777,0.599,0.0006,64.61,10.978,Healthy
"Quinoa, ground, cooked",212.69,0.38,0,3.01,5.42,9.48,8.78,0,0.49,36.92,0.39,37.39,258.64,68.92,1.06,0.48,0.92,1.56,124.11,0.0018,0.1345,0,1.362,0.002,18.16,3.463,Healthy
"Clams, canned in water, seared",204.92,0.03,0,11.36,0,25.51,80.58,76.02,1.86,0.16,2.02,11.52,203.04,32.76,0.39,3.37,2.73,1.54,188.18,0.042,0.237,0.004414,0.506,0.0004,44.12,7.942,Healthy
"Greek yogurt plain, strained, reduced fat",42.02,2.51,0.17,1.66,0,3.55,125.74,3.2,0.98,3.22,1.29,141.83,111.92,10.93,0.02,0.08,0.29,0.43,127.58,0.0685,0.0555,0.000982,0.058,0.0008,19.27,0.152,Healthy
"Sesame seeds, shelled, blanched",631.78,1.44,0,56.14,5.71,19.42,4.87,0,6.58,12.21,1.57,276.52,692.58,393.53,4.21,6.65,25.78,6.68,605.88,0.0007,0.1232,0,7.699,0.0017,46.33,5.187,Healthy
"Pepperoni, ring, grilled",202.82,0.02,0.01,16.34,0,13.84,1271.89,99.18,5.07,0.1,1.69,12.16,224.98,24.31,0.92,1.08,5.43,2.74,184.21,0.0047,0.2615,0.002801,0.329,0.003,45.95,5.811,Unhealthy
"Barley, ground, soaked",117.72,0.84,0,1.08,8.13,4.39,7.82,0,0.13,22.61,0.42,48.36,197.73,38.6,3.27,0.12,0.23,1.57,154.56,0.001,0.1728,0,1.094,0.0019,14.89,5.134,Healthy
"Eclair, thick, with frosting",452.86,36.03,32.18,17.14,1.02,6.64,217.57,71.8,7.22,68.01,0.54,52.54,66.77,16.5,2.35,0.98,3.52,0.72,63.39,0.0442,0.0984,0.000102,2.072,0.008,14.24,1.64,Unhealthy
"Gelato, swirled, chocolate coated",310.29,27.95,26.28,16.41,0.44,4.93,67.97,79.16,8.72,35.72,1.98,141.02,248.88,21.83,0.21,0.87,4.39,0.71,148.44,0.0762,0.0793,0.000344,0.433,0.0005,20.06,0.358,Unhealthy
"Corn sweet, julienned, roasted",51.3,2.74,0,0.22,2.34,1.15,21.27,0,0.03,11.18,55.52,32.17,268.36,11.59,1.13,0.03,0.02,0.39,24.98,0.4695,0.1088,0,0.529,0.0402,13.25,0.6,Healthy
"Corn fritters, thick cut, flash fried",368.78,4.98,1.71,16.98,1.37,10.93,444.13,59.43,4.56,43.06,8.55,29.43,236.08,15.2,1.32,1.78,5.52,1.45,162.69,0.0072,0.1156,2.20E-05,2.002,0.0132,16.83,1.323,Unhealthy
"Turkey leg, strips, stir-fried",143.52,0.01,0,4.4,0,25.42,41.89,70.48,0.93,0.56,0.22,8.97,218.27,24.26,1.48,0.28,1.36,1.05,218.62,0.0141,0.4247,0.000973,0.418,0.0002,60.09,13.987,Healthy
"Peas green, florets, sauteed",40.43,2.17,0,0.27,2.65,2.65,7.33,0,0.06,6.85,68.97,14.43,231.56,27.53,0.43,0.04,0.01,0.15,53.9,0.4734,0.2687,0,1.499,0.1014,8.25,0.766,Healthy
"Grapefruit, with skin, puree",44.18,7.23,0,0.18,1.36,1.02,4.43,0,0.01,9.62,44.63,32.5,303.87,17.23,0.39,0.02,0,0.22,26.41,0.0172,0.0594,0,0.923,0.0051,8.13,0.298,Healthy
"Mung beans, split, boiled",160.47,2.29,0,1.99,12.7,17.77,13.03,0,0.22,17.87,0.4,63.7,435.71,65.32,4.63,0.46,0.49,1.28,272.32,0.0035,0.2429,0,0.108,0.0036,46.21,2.446,Healthy
"Ice cream strawberry, regular, with caramel ribbon",248.72,24.71,21.3,11.88,1.16,2.21,52.39,63.62,7.1,33.24,0.89,141.23,130.87,13.58,0.37,0.27,2.23,0.55,82.7,0.1063,0.0397,0.000326,0.226,0.0026,17.84,0.492,Unhealthy
"Green leaf lettuce, whole leaf, wilted",24.65,0.45,0,0.89,1.72,1.99,48.28,0,0.17,2.17,81.27,216.54,211.37,61.88,2.76,0.13,0.12,0.76,23.97,0.1543,0.1855,0,1.647,0.5424,13.52,0.805,Healthy
"Cream cheese spread, creamy, original recipe",585.03,7.98,7.11,53.91,1.43,2.24,1159.78,43.42,15.92,22.72,1.1,11.8,126.58,5.09,0.74,7.96,16.58,0.4,34.79,0.0015,0.0491,3.20E-05,4.267,0.0136,9.38,0.669,Unhealthy
"Brownie, thick, with sprinkles",500.76,20.08,18.18,29.2,0.74,4.85,353.55,88.89,10.94,54.64,0.92,31.8,89.32,10.86,2.5,2.44,8.56,0.39,65.08,0.0239,0.0245,0.000193,1.184,0.0084,29.48,1.118,Unhealthy
"Turnover cherry, regular, with cream filling",484.69,24.39,21.09,27.25,0.77,3.39,223.42,46.15,11.65,56.47,0.67,55.79,100.12,9.91,2.2,1.47,9.57,0.65,113.69,0.0441,0.0732,1.10E-05,2.84,0.0059,12.76,2.44,Unhealthy
"Tangerine, sliced, ripe",90.88,15.03,0,0.68,1.95,0.36,1.51,0,0.04,20.83,29.95,37.33,290.62,19.76,0.43,0.1,0.06,0.28,19.15,0.038,0.0546,0,1.424,0.0087,11.7,0.205,Healthy
"Granola bar chocolate, regular, chocolate drizzled",460.68,38.38,34.69,10.36,3.71,7.06,449.31,0.64,3.19,84.8,0,77.08,126.19,10.14,14.73,0.3,2.42,3.82,135.06,0.3451,0.9413,0.001925,4.894,0.0099,11.72,9.751,Unhealthy
"Cantaloupe, whole, fresh",58.65,9.59,0,0.53,2.38,1.5,0.76,0,0.06,11.97,18.57,12.51,103.64,14.91,0.3,0.03,0.01,0.19,18.21,0.0516,0.0318,0,1.401,0.0033,10.2,0.47,Healthy
"Almonds, chopped, soaked",677.42,1.85,0,58.26,4.92,24.12,4.66,0,3.96,14.15,1.96,68.68,575.66,320.47,7.92,7.54,15.95,3.71,624.07,0.0028,0.3975,0,25.039,0.0031,28.24,7.583,Healthy
"Oats steel cut, cracked, boiled",171.52,0.86,0,4.32,8.91,11.56,3.67,0,0.6,21.6,0.54,25.21,298.92,32.71,2.99,0.23,1.25,2.61,200.69,0.0004,0.2007,0,1.009,0.0043,29.33,5.748,Healthy
"Mozzarella part-skim, smooth, room temperature",67.69,3.91,0.14,0.81,0,9.7,142.39,6.56,0.25,5.4,1.53,107.56,171.16,9.83,0.06,0.06,0.19,0.37,144.04,0.0648,0.038,0.000962,0.042,0.0001,19.45,0.111,Healthy
"Loaded nachos, regular, with special sauce",294.81,5.77,4.67,15.97,1.78,14.17,763.41,36.98,6.98,23.6,4.33,174.63,115.7,15.81,2.26,0.67,4.46,1.03,221.23,0.0357,0.1128,0.001312,1.467,0.0018,43.84,3.096,Unhealthy
"Oats steel cut, cracked, steamed",170.19,2.33,0,1.35,2.62,5.11,4.55,0,0.19,34.4,0.07,42.65,233.19,61.55,2.64,0.24,0.41,2.1,290.57,0.0015,0.424,0,0.2,0.0034,15.8,4.567,Healthy
"Snack mix seasoned, bite size, flavored",443.14,3.56,0.05,24.18,2.07,4.66,569.13,8.24,3.79,51.72,10.05,21.84,499.75,18.69,1.23,1.68,9.23,0.86,92.8,0.0061,0.2196,0,1.48,0.0077,26.32,1.508,Unhealthy
"Freekeh, cracked, toasted",216.64,0.8,0,3.28,3.51,13.93,7.83,0,0.44,32.85,0.31,49.73,102.33,31.24,3.95,0.61,1.03,2.01,330.63,0.0014,0.4576,0,0.108,0.0033,13.31,1.467,Healthy
"Watercress, baby, braised",41.34,0.74,0,0.46,3.96,2.42,29.48,0,0.06,6.88,83.09,36.12,251.54,36.19,3.22,0.06,0.04,0.54,25.79,0.1441,0.107,0,1.315,0.2659,22.52,0.719,Healthy
"Fried mac and cheese bites, regular, deep fried",389,1.78,0.7,24.12,2.41,10.47,681.57,42.58,5.09,32.51,0.28,34.25,393.14,29.5,0.56,1.26,7.38,0.81,163.85,0.008,0.254,0.000999,2.885,0.006,10.46,1.251,Unhealthy
"Turkey leg, whole, steamed",136.57,0.14,0,4.05,0,24.29,64.26,82.03,0.66,0.74,0.49,9.78,344.05,26.67,1.24,0.29,1.54,1.02,240.72,0.0179,0.6024,0.000326,0.28,0.0023,64.94,5.254,Healthy
"Taco beef, large, fried",311.04,4.3,2.67,18.12,0.67,15.6,994.33,37.63,8.93,21.39,4.08,193.18,221.5,25.92,1.4,1.58,3.98,1.26,228.07,0.0391,0.1538,0.00171,1.449,0.0048,27.57,5.337,Unhealthy
"Candy mint, layered, fruit flavored",601.86,57.66,53.48,27.66,2.1,5.79,30.84,0.91,15.78,82.44,1.82,10.49,61.79,27.16,1,0.55,6.63,1.89,24.67,0.0019,0.0568,5.60E-05,1.763,0.0046,15.89,0.914,Unhealthy
"Black-eyed peas, mature, cooked",183.23,2.39,0,2.99,5.98,10.23,4.23,0,0.32,28.85,0.91,73.15,271.09,31.11,3.4,0.58,0.3,1.22,195.24,0.0011,0.3538,0,0.259,0.0094,41.69,2.991,Healthy
"Anchovies, tail, grilled",101.24,0.01,0,4.36,0,15.47,45.68,74.66,1.01,0.03,2.46,24.17,210.89,24.89,0.64,0.73,1.17,1.14,177.81,0.045,0.5941,0.007924,1.904,0.0013,67.14,6.671,Healthy
"Watercress, whole leaf, blanched",31.88,1.02,0,0.28,1.54,3.9,21.49,0,0.05,3.44,22.54,93.18,487.87,74.56,2.67,0.04,0.01,0.42,67.1,0.7059,0.271,0,0.53,0.4581,22.42,1.493,Healthy
"Cereal chocolate puffs, fun size, caramel dipped",355.56,22.11,19.98,5.56,3.73,4.84,395.82,1.37,1.75,71.54,10.61,17.22,67.74,38.9,11.9,0.53,1.37,1.02,82.22,0.2209,0.6729,0.003198,1.274,0.0099,12.48,11.22,Unhealthy
"Bok choy, shredded, raw",36.15,1.91,0,0.67,2.93,2.69,32.45,0,0.07,4.84,112.65,125.29,304.61,31.55,1.31,0.17,0.02,0.47,66.28,0.8307,0.2698,0,1.867,0.1784,24.74,1.166,Healthy
"Liverwurst, stick, grilled",384.26,0.04,0.01,33.3,0,19.8,757.88,96.73,14.36,1.34,1.53,19.02,318.58,12.44,2.42,0.69,13.27,1.15,103.19,0.0018,0.2127,0.001053,0.276,0.0047,30.03,2.317,Unhealthy
"Chicken thigh skinless, cutlet, braised",129.11,0.14,0,1.07,0,29.56,65.84,77.27,0.19,0.31,0.43,15,294.48,20.64,1.41,0.11,0.35,1.28,245.8,0.0084,0.4122,0.000876,0.319,0.0034,86.58,8.069,Healthy
"Candy corn, assorted, milk chocolate",552.01,44,38.18,29.85,2.78,1.81,21.55,0.04,11.74,69.03,1.83,42.14,105.73,12.84,0.32,1.53,4.59,1.28,19.56,0.0029,0.0375,6.90E-05,1.141,0.0044,5.92,0.157,Unhealthy
"Clams, steak, smoked",206.67,0.08,0,13.11,0,21.41,114.83,60.53,2.21,0.76,0.11,13.41,423.98,20.63,0.5,3.46,3.61,0.41,197.91,0.0454,0.2343,0.00184,1.261,0.0028,64.91,5.86,Healthy
"Catfish, steak, seared",115.27,0.22,0,2.99,0,21.51,107.07,59.83,0.22,0.58,0.13,5.56,465.05,27.2,0.8,1.04,0.77,1.01,320,0.0168,0.4736,0.002934,0.948,0.0002,59.63,6.971,Healthy
"Chips tortilla, kettle, spicy",457.02,3.65,0.1,25.98,4.92,6.32,689.73,0.05,7.39,49.48,9.01,27.44,473.94,35.41,1.28,3.61,9.94,0.73,71.26,0.006,0.276,0,3.708,0.0011,17.33,2,Unhealthy
"Chips tortilla, party size, cheese dusted",466.12,1.93,0.36,21.8,3.23,6.15,501.73,0.91,4.7,61.33,4.17,28.52,278.33,16.8,0.88,2.27,5.71,0.54,198.53,0.0091,0.1252,0,4.905,0.0083,28.46,3.972,Unhealthy
"Cereal bar frosted, king size, iced",383.22,36.89,31.96,9.22,2.9,3.77,358.17,0.94,2.92,71.29,17.16,43.69,107.65,37.91,3.86,0.38,1.79,2.54,89.45,0.1044,0.4553,0.002622,4.079,0.0049,17.84,5.51,Unhealthy
"Green leaf lettuce, diced, braised",31.29,1.12,0,0.41,2.76,2.67,53.52,0,0.08,4.23,50.74,159.99,534.13,23.82,2.06,0.05,0.03,0.59,35.79,0.4083,0.0887,0,0.91,0.4377,15.02,1.178,Healthy
"Mozzarella sticks, super sized, deep fried",295.98,2.03,1.74,17.46,0.64,11.82,988.35,41.96,6.26,22.89,4.73,172.7,232.15,14.81,2.33,0.93,5.63,1.89,159.53,0.0209,0.1021,0.001377,0.344,0.0099,29.62,5.87,Unhealthy
"Cereal chocolate puffs, snack size, caramel dipped",443.16,32.57,31.2,14.64,4.84,3.87,228.92,1.56,3.71,73.98,13.51,80.3,157.75,31.75,5.39,0.45,5.07,1.01,93.29,0.3245,0.5844,0.003801,2.787,0.0036,10.97,13.408,Unhealthy
"Ice cream cookies and cream, soft serve, with fudge swirl",259.58,22.62,18.48,14.5,0.72,3.76,110.27,76.29,6.76,28.51,1.43,129.05,129.97,24.24,0.1,0.53,4.34,0.93,107.75,0.0938,0.0268,0.00049,0.17,0.0013,26.8,0.279,Unhealthy
"Chocolate covered raisins, miniature, sugar coated",605.08,69.22,58.62,26.76,1.12,3.18,79.75,1.8,11.7,87.88,1.54,55.6,221.16,42.71,0.37,1.28,8.16,0.23,37.16,0.0081,0.0451,0.0001,0.035,0.0045,13.91,0.369,Unhealthy
"Chips wavy, thick cut, ranch flavored",540.29,4.91,0.62,30.25,1.08,4.55,427.64,5.15,4.72,62.46,0.21,45.22,387.89,34.17,1.88,3.16,7.81,1.33,151.05,0.0044,0.1856,0,1.085,0.005,22.2,3.305,Unhealthy
"Chicken breast, strips, braised",120.69,0.16,0,1.61,0,26.23,68.61,71.31,0.52,0.32,0.44,5.39,345.41,20.55,0.73,0.21,0.45,0.95,202.24,0.0089,0.3894,0.000552,0.101,0.0037,85.36,8.595,Healthy
"Milk fat free, pasteurized, fat free",61.28,2.65,0.24,2,0,7.12,130.66,9.82,0.87,3.7,0.66,141.64,168.08,8.08,0.09,0.07,0.31,0.34,144.74,0.0758,0.0251,0.000968,0.035,0.0003,17.42,0.185,Healthy
"Praline, layered, dark chocolate coated",494.17,57.58,52.06,19.45,1.59,2.16,127.13,16.86,10.21,77.62,0.82,32.89,139.51,17.63,1.88,1.16,6.66,1.88,52.48,0.0032,0.0778,9.90E-05,0.242,0.0024,8.83,0.732,Unhealthy
"Cereal cinnamon sugar, regular, chocolate drizzled",409.65,35.6,31.77,7.13,3.83,4.37,422.07,4.49,0.85,82,11.13,96.64,165.13,39.63,5.36,0.49,1.42,4.28,98.31,0.2284,0.5223,0.00161,2.781,0.0035,10.85,11.524,Unhealthy
"Banana, whole, frozen unsweetened",47.96,6.7,0,0.4,3.3,1.09,0.96,0,0.05,10,89.41,29.36,338.79,10.71,0.43,0.02,0.02,0.11,26.44,0.0425,0.0561,0,0.812,0.0099,11.33,0.232,Healthy
"Fried pickles, extra crispy, flash fried",331.41,3.08,0.24,16.29,1.33,9.41,676.28,25.17,4.98,36.79,6.08,18.98,296.13,15.21,1.66,1.99,6.39,0.71,176.88,0.0058,0.2667,0.00044,1.085,0.0155,22.08,2.64,Unhealthy
"Cereal chocolate puffs, fun size, marshmallow topped",425.56,29.8,27.74,9.4,4.36,6.02,480.88,3.62,2.91,79.22,5.53,52.69,136.45,29.62,4.81,0.51,3.13,1.25,67.7,0.3447,0.3936,0.002255,4.125,0.0032,18.42,12.99,Unhealthy
"Wheat berries, ground, simmered",157.55,1.21,0,3.31,6.46,11.83,8.44,0,0.43,20.11,0.65,21.08,140.33,83.63,3.78,0.41,0.87,1.37,139.15,0.0008,0.381,0,1.418,0.0042,12.35,3.644,Healthy
"Liverwurst, patty, cured",382.21,1.18,0.37,32.45,0,19.09,1295.78,72.37,10.38,3.45,2.81,30.99,325.88,14.1,1.02,1.66,11.93,3.27,126.21,0.0038,0.2795,0.001438,0.461,0.0037,56.05,5.096,Unhealthy
"Corn dog, double, with mayo",369.03,5.49,4.08,20.87,0.76,19.85,963.14,79.86,5.77,25.45,3.09,163.38,179.37,28.91,1.56,1.51,5.86,2.08,235.88,0.0192,0.0798,0.00097,0.633,0.0058,40.27,5.457,Unhealthy
"Cream cheese spread, chunky, rich",413.67,4.89,3.42,38.87,0.02,4.23,625.39,48.5,13.2,11.73,4.14,23.34,65.43,11.36,0.73,5.58,12.25,0.43,34.95,0.007,0.0133,3.90E-05,7.91,0.0371,11.29,0.485,Unhealthy
"Salami, ground, nitrate cured",259.23,2.38,1.61,19.15,0,15.08,889.81,65.52,5.94,6.64,4.88,25.45,308.72,17.4,1.75,0.73,8.53,2.11,244.79,0.0023,0.1886,0.001009,0.236,0.0032,52.39,5.239,Unhealthy
"Swordfish, fillet, baked",115.99,0.12,0,2.91,0,22.02,85.72,67.11,0.68,0.43,2.04,43.98,463.12,38.05,1.39,0.57,0.75,1.35,216.13,0.0328,0.4671,0.006971,1.015,0.0017,46.98,3.752,Healthy
"Cranberry, sliced, dried unsweetened",76.69,10.96,0,0.21,3.7,0.63,0.92,0,0.02,18.07,74.09,27.63,158.09,11.17,0.47,0.03,0.01,0.06,20.47,0.0468,0.094,0,1.14,0.007,11.21,0.361,Healthy
"Hazelnuts, slivered, unsalted",630.44,1.47,0,52.96,14.06,21.29,1.92,0,6.52,17.16,1.18,146.07,430.26,259.54,2.85,9.5,15.02,7.66,561.44,0.0014,0.4004,0,17.839,0.0019,53.06,5.422,Healthy
"Lobster, fillet, broiled",161.73,0.45,0,6.61,0,24.65,105.41,46.22,0.51,0.91,0.44,43.42,240.66,22.85,1.08,0.83,2,0.97,290.24,0.0474,0.3474,0.005016,0.936,0.0017,46.22,4.911,Healthy
"Black-eyed peas, hulled, stewed",114.64,0.74,0,0.8,12.51,7.33,14.87,0,0.14,19.53,1.61,54.35,306.68,69.37,3.43,0.11,0.1,2.49,254.84,0.0035,0.3106,0,0.443,0.0054,45.42,1.518,Healthy
"Snap peas, florets, steamed",51.06,4.35,0,0.46,3.44,2.79,25.61,0,0.1,8.94,70.71,22.44,155.54,27.24,0.57,0.08,0.02,0.37,49.32,0.0647,0.0511,0,1.838,0.0548,18.32,0.828,Healthy
"Flax seeds, ground, raw",569.32,1.68,0,42.76,4.26,24.92,0.84,0,6.39,21.2,1.7,262.15,422.92,227.16,6.3,6.83,11.68,7.78,586.1,0.0018,0.5379,0,2.233,0.0035,54.68,6.593,Healthy
"Breadsticks cheese, family size, heavily salted",620.3,2.85,0.57,37.38,2.11,7.43,636.71,2.32,12.88,63.54,13.7,10.45,348.5,32.9,0.87,4.3,13.29,0.95,112.24,0.0099,0.2631,0,1.389,0.0099,26.33,1.413,Unhealthy
"Cereal peanut butter sweet, multi-pack, caramel dipped",417.65,36.69,35.03,10.77,3.05,6.24,237.64,2.44,2.58,73.94,7.07,74.62,144.54,28.71,4.83,0.58,2.74,4.44,143.81,0.3621,0.9191,0.002657,1.212,0.0069,12.68,7.594,Unhealthy
"Barley, cooked, soaked",201.55,0.37,0,1.07,3.42,13.73,5.95,0,0.18,34.25,0.38,39.07,249.73,109,1.01,0.13,0.32,1.05,215.85,0.0002,0.453,0,1.477,0.0022,13.23,5.808,Healthy
"Chicken sandwich fried, large, with cheese sauce",317.99,5.52,4.45,19.31,1.8,16.48,576.07,30.89,8.24,19.57,2.01,155.33,177.24,17.43,2.49,0.97,5.16,1.02,209.83,0.0497,0.1839,0.001438,1.541,0.0012,25.87,5.353,Unhealthy
"Cake chocolate layer, double layered, with icing",555.94,39.58,34.12,29.66,1.31,6.36,330.08,20.82,11.25,65.89,0.56,44.31,55.67,12.77,1.53,1.1,8.99,0.39,97.86,0.015,0.0739,0.000298,2.487,0.007,12.6,2.152,Unhealthy
"Fried mushrooms, battered, fried in vegetable oil",416.09,1.9,0.43,21.85,1.61,12.91,640.47,40.92,4.87,41.95,6.13,13.01,308.74,23.85,1.21,2.18,6.06,0.99,93.33,0.0035,0.1224,0.000933,2.809,0.0061,29.87,2.973,Unhealthy
"Chocolate bar white, layered, nut filled",487.13,67.49,56.9,14.49,2.34,2.45,148.06,13.71,7.89,86.73,1.29,97.78,109.28,25.52,2.41,0.87,4.17,0.21,77.23,0.0048,0.0837,2.00E-06,0.181,0.0046,15.12,0.567,Unhealthy
"Green leaf lettuce, baby, wilted",27.15,0.48,0,0.35,1.71,3.81,29.58,0,0.06,2.19,17.5,46.5,306.43,76.52,3.41,0.09,0.01,0.66,67.39,0.1832,0.2705,0,0.831,0.642,23.6,0.425,Healthy
"Meat spread, stick, heat and serve",257.68,0.27,0.21,21.72,0,14.59,1312.73,109.55,7.65,0.96,2.11,37.46,318.86,15.57,0.58,1.58,6.93,1.9,153.55,0.0043,0.211,0.002839,0.428,0.0033,34.56,5.479,Unhealthy
"Fava beans, sprouted, pressure cooked",203.85,3.02,0,1.93,12.17,17.65,8.7,0,0.31,28.97,1.29,40.86,397.86,32.23,3.41,0.38,0.26,1.96,263.96,0.0044,0.2713,0,0.378,0.0034,22.95,2.136,Healthy
"Pistachios, halved, blanched",607.01,2.05,0,47.41,11.66,23.21,2.06,0,6.35,21.87,1.54,267.83,420.61,102.41,6.62,10.26,16.29,4.72,687.64,0.0002,0.3188,0,29.728,0.0015,44.6,4.029,Healthy
"Turkey tenderloin, bone-in, grilled",143.22,0.04,0,4.46,0,25.52,47.36,58.19,0.84,0.25,0.28,12.9,276.48,26.9,1.27,0.42,1.76,1.65,220.42,0.0163,0.6854,0.000727,0.356,0.0011,82.16,10.125,Healthy
"Oats steel cut, whole grain, toasted",146.96,1.09,0,4.28,3.92,6.6,4.37,0,0.71,20.51,0.89,21.55,151.14,57.03,1.67,0.24,1.45,1.83,285.08,0.0004,0.1234,0,0.156,0.0049,28.32,2.011,Healthy
"Milkshake powder, syrup, sugar added",186.21,32.87,30.22,0.25,0,1.4,39.43,0,0.1,44.59,2.49,14.91,36.06,4.83,0.06,0.02,0.06,0.03,0.29,0.0001,0.0174,0,0.097,0.0007,1.62,0.259,Unhealthy
"Navy beans, sprouted, canned drained",146.78,2.7,0,2.02,6.58,12.58,8.22,0,0.38,19.57,1.35,30.39,318.04,47.07,6.09,0.28,0.37,1.22,182.11,0.0033,0.281,0,0.104,0.0071,34.43,2.503,Healthy
"Sweet potato, julienned, raw",46.76,2.5,0,0.12,1.58,3,28.09,0,0.01,8.42,82.34,27.26,344.99,16.34,0.65,0.02,0.01,0.13,50.02,0.4232,0.276,0,1.623,0.0294,11.11,0.889,Healthy
"Fried pickles, thick cut, double fried",359.65,0.61,0.11,20.81,1.56,6.96,331.16,52.16,6.95,36.13,3.34,30.75,249.36,15.1,1.6,1.88,6.05,0.67,121.84,0.0083,0.2279,0.000443,0.814,0.018,26.73,1.832,Unhealthy
"Soda cream concentrate, extra sweet, cane sugar",223.7,39.69,36.84,0.06,0,0.96,27.05,0,0.03,54.83,1.9,10.68,12.35,7.09,0.49,0,0.01,0.04,12.15,0.0006,0.0182,0,0.07,0.0004,4.23,0.375,Unhealthy
"Sorrel, shredded, microwaved",29.28,0.99,0,0.32,3,2.61,60.96,0,0.06,3.99,114.93,111.47,480.42,60.22,3.1,0.05,0.01,0.38,47.43,0.611,0.0587,0,1.551,0.3433,21.09,1.161,Healthy
"Pomegranate, cubed, dehydrated",86.16,10.24,0,0.16,4.56,1.1,1.94,0,0.02,20.08,75.21,14.65,183.71,7.41,0.34,0.01,0.01,0.25,18.89,0.0282,0.0915,0,0.536,0.0061,5.11,0.57,Healthy
"Chicken liver, cubed, broiled",123.09,0.43,0,1.53,0,26.45,63.36,74.46,0.52,0.88,0.12,10.74,239.59,29.55,0.89,0.21,0.62,2.18,163.07,0.0067,0.5264,0.000502,0.298,0.0006,78.02,10.182,Healthy
"Chips tortilla, party size, BBQ coated",575.39,2.56,0.72,36.71,2.73,7.16,729.52,0.31,8.14,54.09,8.09,39.91,489.7,24.23,1.34,4.76,10.05,1.37,71.69,0.0075,0.2869,0,3.817,0.0029,29.25,2.483,Unhealthy
"Mozzarella part-skim, pasteurized, fat free",69.41,3.14,0.31,1.97,0,9.29,94.3,10.54,0.92,3.63,1.15,120.04,100.84,12.94,0.06,0.1,0.59,0.96,157.43,0.0723,0.0728,0.000457,0.064,0.0003,10.01,0.078,Healthy
"Margarine, regular, homestyle",428.93,1.71,1.44,44.09,0.51,1.6,611.98,20.09,13.36,6.43,4.3,42.39,139.08,19.42,0.42,2.33,9.57,0.32,95.45,0.003,0.0343,3.90E-05,1.959,0.0237,13.73,0.176,Unhealthy
"Sesame seeds, chopped, soaked",541.2,1.92,0,43.8,9.57,15.61,1.68,0,4.92,21.14,0.4,218.63,797.11,353.27,6.09,9.39,12.84,3.63,371.32,0.0008,0.5437,0,1.173,0.0007,32.72,5.449,Healthy
"Frozen custard, light, plain",237.05,22.19,20.87,9.01,1.75,3.96,94.78,41.28,5.63,35.03,0.32,90.65,147.99,14.66,0.14,0.35,1.41,0.82,139.93,0.1216,0.0443,0.000497,0.147,0.0008,18.43,0.457,Unhealthy
"Fried plantain sweet, thin cut, pan fried",408.21,0.76,0.31,23.29,2.23,8.4,637.74,32.79,7.25,41.25,2.73,44.21,250.48,21.71,1.08,2,7.3,0.87,121.91,0.0051,0.1816,0.000365,2.408,0.0187,12.39,3.669,Unhealthy
"Hot dog beef, bulk, nitrate cured",310.15,0.82,0.27,26.75,0,14.96,1227.06,77.72,9.71,2.39,3.95,19.4,229.78,23.38,0.71,1.78,9.3,3.44,193.1,0.0037,0.1325,0.000716,0.177,0.0033,65.96,2.701,Unhealthy
